"Reference","Value","DIGIKEY_PN","Qty","DNP"
"BT1","Battery","1568-1659-ND","1",""
"C1,C4,C5,C9,C11,C14,C16,C19,C20,C21,C42,C43,C44,C48,C58","100n","1276-1033-1-ND","15",""
"C2,C47","2.2u","1276-1040-1-ND","2",""
"C3,C46","10n","1276-1028-1-ND","2",""
"C6","5.6n","311-3773-1-ND","1",""
"C7","120u","732-11923-1-ND","1",""
"C8","33n","13-CC0402JRX7R9BB333CT-ND","1",""
"C10,C24,C25,C26,C27,C30,C31,C32,C33,C36,C37,C38,C39,C45","1u","1276-1029-1-ND","14",""
"C12","4.7u","1276-1784-1-ND","1",""
"C13","8.2n","399-C0603C822K5RACTUCT-ND","1",""
"C15","15n","311-3813-1-ND","1",""
"C17,C40,C52,C54","47u","490-10531-1-ND","4",""
"C18","33u","4713-GMC31X5R336M25NTCT-ND","1",""
"C22,C28,C34","20u","565-EGXF351ELL200MJ25S-ND","3",""
"C23,C29,C35","47n","445-6897-1-ND","3",""
"C41","10u","1276-6455-1-ND","1",""
"C49","39n","1276-2055-1-ND","1",""
"C50","82p","311-1023-1-ND","1",""
"C51","33p","1276-1272-1-ND","1",""
"C53,C55,C56,C57","22u","1276-3047-1-ND","4",""
"D1","PWR","732-4978-1-ND","1",""
"D2","WLAN","732-4980-1-ND","1",""
"D3","BT","732-4980-1-ND","1",""
"D4","Activity","732-4980-1-ND","1",""
"D5,D6,D7,D8,D9,D10,D11,D12,D13","D_Zener","SMBJ10A-FDICT-ND","9",""
"D14","RX","732-4980-1-ND","1",""
"D15","TX","732-4980-1-ND","1",""
"D16,D18,D20","LED","732-4978-1-ND","3",""
"D17,D19,D21","D_Schottky","3757-SD103AWS_R1_00001CT-ND","3",""
"J1,J2,J3","Screw_Terminal_01x03","277-1578-ND","3",""
"J4","Screw_Terminal_01x02","277-1667-ND","1",""
"J5","USB_C_Receptacle_USB2.0_14P","2073-USB4120-03-CCT-ND","1",""
"J6","Conn_01x15_Socket","2073-FFC3A20-15-GCT-ND","1",""
"L1","68u","553-PA4349.683ANLTCT-ND","1",""
"L2","2.2u","541-1019-1-ND","1",""
"L3","1.5u","308-2497-1-ND","1",""
"R1,R2,R3,R4,R21,R22,R29,R36,R43","68R","P68.0LCT-ND","9",""
"R5,R6,R8,R16,R26,R28,R33,R35,R40,R42","10k","RMCF0603JT10K0CT-ND","10",""
"R7","0R","P0.0JCT-ND","1","DNP"
"R9,R13","1k","P1.0KDCCT-ND","2",""
"R10","137k","P137KLCT-ND","1",""
"R11","42k2","311-42.2KLRCT-ND","1",""
"R12","52k3","P52.3KLCT-ND","1",""
"R14","75R","P75.0LCT-ND","1",""
"R15","1R","311-1.00HRCT-ND","1",""
"R17","1k21","P1.21KLCT-ND","1",""
"R18","2m","13-PA2512DKF7W0R002ECT-ND","1",""
"R19,R20,R23,R24,R25,R27,R30,R31,R32,R34,R37,R38,R39,R41","5.1k","P5.10KLCT-ND","14",""
"R44","383k","P383KLCT-ND","1",""
"R45,R47","100k","P100KHCT-ND","2",""
"R46","182k","P182KLCT-ND","1",""
"R48","61k9","P61.9KLCT-ND","1",""
"R49","931k","P931KLCT-ND","1",""
"R50","48k7","P48.7KLCT-ND","1",""
"R51","220k","P220KLCT-ND","1",""
"R52","30k","P30.0KLCT-ND","1",""
"SW1","BOOT","PTS647SM38SMTR2LFSCT-ND","1",""
"SW2","RESET","PTS647SM38SMTR2LFSCT-ND","1",""
"SW3","SW_SPDT","CKN10721CT-ND","1",""
"U1","74LVC1G07","296-8485-1-ND","1",""
"U2","SN74LVC3G07DCUR","296-13283-1-ND","1",""
"U3","Compute_Module_4_Connectors","H11615CT-ND","1",""
"U4","ICM-20602","1428-1060-1-ND","1",""
"U5","MAX7368EUET","MAX7368EUE+-ND","1",""
"U6","SIC461ED-T1-GE3","SIC461ED-T1-GE3CT-ND","1",""
"U7","MCP4531T-103E/MF","MCP4531T-103E/MFCT-ND","1",""
"U8","INA211","296-41417-1-ND","1",""
"U9","USBLC6-2SC6","497-5235-1-ND","1",""
"U10","FT230XS","768-1135-1-ND","1",""
"U11","FSUSB42MUX","FSUSB42MUXCT-ND","1",""
"U12,U13,U14","MCT8316A1VRGFR","296-MCT8316A1VRGFRCT-ND","3",""
"U15","TPS61288RQQR","296-TPS61288RQQRCT-ND","1",""
"U16","TPS566238PRQFR","296-TPS566238PRQFRCT-ND","1",""
